dataset,theme_id,entity_level,entity_id,mapping_status,mapping_rationale,annotation_source,confidence,approved_for_manuscript_interpretation,mapping_role
microglia,mitochondrial_respiration_oxphos,module,WGCNA_m01,approved,Reviewed mitochondrial translation/OXPHOS label plus significant module GO terms under cellular respiration and electron transport anchors,Stage07 reviewed label + same-dataset WGCNA_module_GO_enrichment_long.csv,high,TRUE
microglia,synaptic_signaling_vesicle,module,WGCNA_m04,approved,Reviewed synaptic vesicle endocytosis label plus significant synaptic signaling and synaptic vesicle transport GO terms,Stage07 reviewed label + same-dataset WGCNA_module_GO_enrichment_long.csv,high,TRUE
microglia,synaptic_signaling_vesicle,module,WGCNA_m05,approved,Reviewed actin/synaptic regulation label plus significant synaptic signaling GO terms,Stage07 reviewed label + same-dataset WGCNA_module_GO_enrichment_long.csv,high,TRUE
microglia,ribosome_translation,module,WGCNA_m07,approved,Reviewed cytosolic translation label plus significant translation and ribosome-biogenesis GO terms,Stage07 reviewed label + same-dataset WGCNA_module_GO_enrichment_long.csv,high,TRUE
microglia,rna_processing_splicing_rnp,module,WGCNA_m07,approved,Reviewed secondary RNA/RNP annotation plus significant RNA-processing and RNP-biogenesis GO terms,Stage07 reviewed label + same-dataset WGCNA_module_GO_enrichment_long.csv,high,TRUE
microglia,synaptic_signaling_vesicle,module,WGCNA_m08,approved,Reviewed synapse/postsynaptic label plus significant synaptic signaling and synaptic vesicle GO terms,Stage07 reviewed label + same-dataset WGCNA_module_GO_enrichment_long.csv,high,TRUE
microglia,rna_processing_splicing_rnp,module,WGCNA_m11,approved,Reviewed RNA splicing/RNP label plus significant RNA-processing and RNP-biogenesis GO terms,Stage07 reviewed label + same-dataset WGCNA_module_GO_enrichment_long.csv,high,TRUE
microglia,synaptic_signaling_vesicle,supermodule,SM03,approved,Genuine three-module vesicle-trafficking block with reviewed label and synaptic-theme GO support in member modules m04 and m08,Stage07 reviewed supermodule label + canonical membership + same-dataset module GO,moderate,TRUE
microglia,rna_processing_splicing_rnp,supermodule,SM09,approved,Genuine two-module RNP-biogenesis/translation block with reviewed RNA annotation and RNA-theme GO support in members m07 and m11,Stage07 reviewed supermodule label + canonical membership + same-dataset module GO,high,TRUE
microglia,ribosome_translation,supermodule,SM09,approved,Genuine two-module RNP-biogenesis/translation block with reviewed translation annotation and ribosome-theme GO support in members m07 and m11,Stage07 reviewed supermodule label + canonical membership + same-dataset module GO,high,TRUE
